school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
AGELELANG THUTO PRIMARY,23.464588165283203,-26.16578483581543,Primary,ZAF,becb519b-5349-31dd-9b6c-d65f270c2259,
AGGENEYS LAERSKOOL,18.843170166015625,-29.23567008972168,Primary,ZAF,55aef4a1-11c5-389d-abae-9405a41b2c99,
AGISANANG PRIMARY SCHOOL,25.82330322265625,-26.55929946899414,Primary,ZAF,b0933c3d-a7f4-35f9-9eca-41b7a7280379,
A.G MALEBE INTERMEDIATE SCHOOL,25.749212,-26.127367,Primary,ZAF,01422ee0-5168-3fdf-8150-176091a84160,
AGNES CHIDI PRIMARY SCHOOL,28.351963,-25.71547,Primary,ZAF,c6a58624-7688-3d68-a36e-dbd9c2c4c104,
AGNES SENIOR PRIMARY SCHOOL,27.030139923095703,-31.696489334106445,Primary,ZAF,cd5da13d-5ad7-31ee-a2b5-c93e7c4ff1ba,
Agonkitse Primary School,26.841089248657227,-25.303003311157227,Primary,ZAF,78931866-dfb6-3104-ba45-ca346947c6e4,
AGTERWITZENBERG VGK PRIMﾊRE SKOOL,19.24648666381836,-33.23133087158203,Primary,ZAF,4b65836f-9888-3dcc-9e53-7fb3a83795fb,
AHANANG INTERMEDIATE SCHOOL,27.770197,-26.455088,Primary,ZAF,bd21efd0-64c9-351a-bdc7-f002bf0c70a3,
AHA SETJHABA P/S,27.47368621826172,-26.92868423461914,Primary,ZAF,5292d405-75ad-3a5a-b460-bd9dc4267eef,
AHA-THUTO SECONDARY SCHOOL,27.860191345214844,-26.47835922241211,Secondary,ZAF,84f26c91-f2b3-3036-8a8f-9774aeb15069,
A.H. BARNARD PRIMﾊRE SKOOL,22.575170516967773,-32.367000579833984,Primary,ZAF,c6cecb66-5a42-3e3d-a517-e6d7ab4920eb,
AHMED TIMOL SECONDARY SCHOOL,27.755626678466797,-26.16779136657715,Secondary,ZAF,5ad1df61-fb43-3662-9070-72af38180090,
A.I. KAJEE PRIMARY SCHOOL,29.998899459838867,-29.20949935913086,Primary,ZAF,ce935c31-acb9-3c54-9fb1-d2cf2b7d5fc3,
AJC JOOSTE C/S,25.41701316833496,-29.11126708984375,Primary And Secondary,ZAF,cf1b785a-964c-3f6d-91e5-6c112dccf6d8,
AJ FERREIRA SEKONDÊRE SKOOL,21.201169967651367,-28.45136070251465,Secondary,ZAF,20cfba1a-2462-32ab-a170-8cc69a130598,
AJ JACOBS P/S,27.829347610473633,-26.82272720336914,Primary,ZAF,284662fb-27bd-37fd-b11b-aefe3f63f5f2,
AJ MWELASE SENIOR SECONDARY SCHOOL,30.93790054321289,-29.933900833129883,Secondary,ZAF,12244818-b24a-3139-8ccd-44cd8f01f21f,
AKADEMIA S/S,26.46753692626953,-28.69272804260254,Secondary,ZAF,bf460d19-f875-3bbf-8376-9afefcde426d,
AKANANI,30.475460052490234,-23.726411819458008,Primary,ZAF,74625571-65bc-3d31-b4f1-5681c2ad9866,
AKANI,30.2958984375,-23.308443069458008,Secondary,ZAF,e440a0b5-77a6-31c2-a0b9-1f453db0e1cb,
AKASIAPARK LAERSKOOL,18.5295467376709,-33.890464782714844,Primary,ZAF,d78f86aa-0a1f-3be9-ab45-adc9bc3f04d5,
AKKERBOOM PRIMﾊRE SKOOL,20.49040985107422,-33.922706604003906,Primary,ZAF,fbbef8cf-e882-35fb-9b88-c5626b329128,
AKOFANG I/S,28.821929931640625,-28.51816177368164,Primary,ZAF,ead78e09-45e5-3813-83e1-1d5649f16a2c,
AKOFANG PRIMARY SCHOOL,26.604700088500977,-26.893583297729492,Primary,ZAF,263b507e-202b-375a-90bd-4d5e984ce573,
ALABAMA PRIMARY SCHOOL,26.59567642211914,-26.87171745300293,Primary,ZAF,00d970d5-2b97-3350-b885-f9522fa400d1,
ALABAMA SECONDARY SCHOOL,26.578933715820312,-26.87142562866211,Secondary,ZAF,e89d17be-9e46-3702-a952-4a5ac7090721,
ALAFANG SECONDARY SCHOOL,28.154510498046875,-26.306533813476562,Secondary,ZAF,c263ca4b-7e24-3c03-a511-518c97bc5953,
ALBERT FALLS PRIMARY SCHOOL,30.428499221801758,-29.418899536132812,Primary And Secondary,ZAF,ff8460bc-1625-3bb4-856f-1c7fa53c196c,
ALBERTINA SISULU JUNIOR SECONDARY SCHOOL,27.64603042602539,-32.119380950927734,Primary,ZAF,4b241988-6692-3255-825a-42f60961a512,
ALBERTINA SISULU PRIMARY SCHOOL,28.39132,-26.18659,Primary,ZAF,4e8b07dd-b2c8-3b68-9966-87d0fb1f98cd,
ALBERTINA SISULU S/S,25.9447021484375,-29.73369789123535,Secondary,ZAF,bd458de3-3115-3c8a-bd58-bb5571c16015,
ALBERTINIA HOﾋRSKOOL,21.584806442260742,-34.1999397277832,Primary And Secondary,ZAF,f5e1c870-f5f6-304a-8018-9b6056c85648,
ALBERT LITHULI,28.323823928833008,-24.88289451599121,Primary,ZAF,f3a74b0e-1af5-34d6-84ac-911101f02664,
