school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
ACK ST. BARNABAS GACICO,37.647098541259766,-0.46682998538017273,Primary,KEN,be396ff2-0e5e-3e7a-95ee-c8768356bb7b,
A.C.K. ST. BARNABAS KIPKENYO SECONDARY SCHOOL,35.212379455566406,0.5277400016784668,Secondary,KEN,4988a741-dde4-370f-8a33-fc682f3e1234,
A.C.K ST.BARTHOLOMEW SECONDARY SCHOOL,38.53300094604492,-3.3896501064300537,Secondary,KEN,0cd97658-d523-3c59-a9c2-2a1c2c127c41,
A.C.K ST. JAMES MATULANI SECONDARY SCHOOL,37.814300537109375,-1.5649000406265259,Secondary,KEN,854bb5b4-b4b2-33ac-b35e-44d12a5f01f1,
ACK ST. JOHN SIGOWET SECONDARY SCHOOL,35.217498779296875,0.5888000130653381,Secondary,KEN,4363f483-d656-35cc-bdbf-fd6c4967fa76,
ACK ST. JOHN'S KHWISERO SECONDARY SCHOOL,34.596981048583984,0.16744999587535858,Secondary,KEN,7cd89529-788e-3990-971d-9071053db88b,
ACK ST. JOHNS KISEKINI SECONDARY SCHOOL,37.380001068115234,-1.8036999702453613,Secondary,KEN,4da6c0b7-c668-3542-9588-8212d1a19e38,
A.C.K ST. JOSEPH'S MAAUELI SECONDARY SCHOOL,37.451698303222656,0.4959999918937683,Secondary,KEN,2f887ce0-4f91-367a-96cd-80bc1b3a47f6,
A.C.K ST LUKE PRIMARY  SCHOOL- BIRIBIRIET,35.17900085449219,0.3898000121116638,Primary,KEN,21b2fb61-6986-3185-845a-1a26f142f307,
A.C.K  ST. LUKE'S KAVIA SECONDARY SCHOOL,38.0817985534668,-1.4371000528335571,Secondary,KEN,7790a0f7-3833-37d6-a7e0-a309558583d8,
A.C.K ST MARY'S SCHOOL THINDIGUA,36.848079681396484,-1.2093420028686523,Primary,KEN,01a54fd0-8e64-35f1-9ac1-5bec39e594a6,
ACK ST. MARY'S SECONDARY SCHOOL-MUKANGU,37.545875549316406,0.7367079854011536,Secondary,KEN,4a732f3c-6d15-31f4-806a-b3e329867044,
A.C.K  ST. MARY'S SHITOTO GIRLS' SECONDARY SCHOOL,34.576480865478516,0.3154299855232239,Secondary,KEN,f5a6c86a-415d-3c1c-bf1c-4bc9bb02c820,
ACK ST.PAUL'S MAKANDUNE SECONDARY SCHOOL,37.819400787353516,0.08110000193119049,Secondary,KEN,5090d37d-a299-3a84-8a9a-7233c3f661c3,
A.C.K ST. PETER'S MUTIGE ACADEMY,37.31800079345703,-0.46000000834465027,Primary,KEN,cb7efcb2-626e-3c69-ae70-c400de13b596,
ACK ST.PHILIP KIPSOEN SECONDARY SCHOOL,35.76900100708008,1.1150000095367432,Secondary,KEN,c031db03-cb31-30d5-a061-fa9f3737bc0c,
ACK ST. STEPHENS KIMA SECONDARY SCHOOL,37.32733154296875,-1.8339300155639648,Secondary,KEN,e8c7bf8d-4ac6-3e5b-ab6d-0f8e899148d9,
ACK ST. STEPHENS NAMANDA SECONDARY SCHOOL,34.85430145263672,0.8190299868583679,Secondary,KEN,9871b933-3dd8-3b7d-8f48-8b8fa292234a,
ACK TEGAT,35.096031188964844,0.20122000575065613,Primary,KEN,ec30e10c-3d4e-3030-b13a-eb326450e13e,
ACK THE GOOD SHEPHERD KIBABII SECONDARY SCHOOL,34.625999450683594,0.5489000082015991,Secondary,KEN,760fb658-151e-3fb9-a9de-a6e52a84c024,
ACK THIKA MEMORIAL CHURCH SCHOOL,37.06388854980469,-1.0234400033950806,Primary,KEN,fcf3c3e0-fc17-3392-b36c-00e1894053ae,
ACK UKIA MIXED SECONDARY SCHOOL,37.500301361083984,-1.7638585567474365,Secondary,KEN,6f614ae0-4acc-37ce-b762-b11d336669e5,
ACK WOTE TOWNSHIP,37.62382125854492,-1.7804700136184692,Primary,KEN,25d47bf2-0692-3aca-aa51-1ef1022d795c,
ACK WOTE TOWNSHIP,37.61569595336914,-1.7905230522155762,Primary,KEN,add031f2-9d11-3938-b95e-3553b33c7fc5,
ACTION PRAISE SECONDARY SCHOOL,36.29650115966797,0.07354000210762024,Secondary,KEN,d8ff4d2a-5b99-3390-96a2-fcde14290110,
ADAN AWALE PRIMARY SCHOOL,39.379268646240234,2.114809036254883,Primary,KEN,3b6b2167-32c8-3317-aa94-01875725ff90,
ADEMASAJIDA MIXED DAY SECONDARY SCHOOL,39.48759841918945,1.0348800420761108,Secondary,KEN,3f239c1b-3f48-39ad-9311-e8a0f546f532,
ADONGO,34.43299865722656,-0.5799999833106995,Primary,KEN,f69cb2d3-df4a-3b12-8847-d72f38fc14c6,
ADU BLOSSOM EDUCATION CENTRE,34.970001220703125,-0.27000001072883606,Primary,KEN,df7f0a28-39ff-3372-85df-c146d99ff380,
ADUONG MONGE SECONDARY SCHOOL,34.4390983581543,-0.11029999703168869,Secondary,KEN,8e86f75f-7260-3572-8eb8-2f85aa62002c,
ADU SECONDARY SCHOOL,39.967498779296875,-2.8424699306488037,Secondary,KEN,3579809f-adc4-32b8-8f5b-ece9d9b69659,
ADVENT HILL SCHOOL,36.68349838256836,-1.39437997341156,Primary,KEN,6ae26da1-7cd2-350a-bff3-cefb1f85fa1f,
AFARSHANLE,40.12668991088867,1.7583225965499878,Primary,KEN,7aeae75f-32b3-387e-970d-3318f9b9327b,
AFESOMO ACADEMY,35.13100051879883,1.1080000400543213,Primary,KEN,ffdb92a3-7916-3b79-be2c-9f707edc7269,
AGAI,35.007999420166016,-0.39399999380111694,Primary,KEN,9e51e031-f408-3914-93f4-d27e121673ab,
AGAI MIXED SECONDARY SCHOOL,35.00699996948242,-0.39250001311302185,Secondary,KEN,d57ce897-78cb-3cd4-a5b0-1b8bb13902e3,
AGA KHAN,36.82500076293945,-1.2599999904632568,Primary,KEN,3095bd49-5619-32c1-bd6d-61d91cf314e1,
AGAPE DAY SPRING,36.97600173950195,-1.1531000137329102,Primary,KEN,e3528d02-24a9-30f8-bab9-656d7d3d3783,
AGAPE JUNIOR ACADEMY,37.647098541259766,-0.46682998538017273,Primary,KEN,ebebe523-18c0-33ef-b515-c1ca710c2612,
AGC LILLOCH SECONDARY SCHOOL,35.465721130371094,-0.20002509653568268,Secondary,KEN,d4b6745e-5b63-3e26-8538-a64d62b3d9a5,
A G C SOSIOT ACADEMY,35.1799430847168,-0.3572036027908325,Primary,KEN,216302a8-787c-3262-ab34-8211dcaea79b,
AGENG'A SECONDARY SCHOOL,40.93891143798828,1.955049991607666,Secondary,KEN,4ecab133-7e8a-36df-9f45-888271dd2560,
AGOK MIXED SECONDARY SCHOOL,34.31999969482422,-0.4569999873638153,Secondary,KEN,84c81d6c-e266-308d-9b3f-1f1f51d5e229,
AGORO  OYOMBE SECONDARY SCHOOL,34.35900115966797,0.052799999713897705,Secondary,KEN,8b68882d-9ef2-3448-8653-6d7fe7b120ab,
AGULU,34.62120056152344,-0.014589999802410603,Primary,KEN,f18ddce2-6335-3cd9-b30f-82813e760a5c,
AHADI PRESBYTERIAN SCHOOL,37.00630187988281,-1.1270999908447266,Primary,KEN,edc619fd-bb14-39f4-8078-1ccaa458686c,
AHMED LIBAN SECONDARY SCHOOL,40.06269836425781,-1.7807999849319458,Secondary,KEN,d93dc355-3b2b-3c6a-b131-572dcbe18a99,
AIC BIRIBIRIET SECONDARY SCHOOL,35.18090057373047,1.0288000106811523,Secondary,KEN,73792045-84b7-3a8a-8d4e-3e03dd592113,
AIC BISSET SECONDARY SCHOOL,35.87379837036133,-1.0923399925231934,Secondary,KEN,3210dcc6-a6fc-33f2-9002-60b2a1f9d1e3,
AIC CHEBISAAS GIRLS SECONDARY SCHOOL,34.97800064086914,0.06289999932050705,Secondary,KEN,dbd0d330-6a3e-3046-b9c0-08bcf2ca47f8,
AIC CHEMORIL WON PRIMARY SCHOOL,36.073848724365234,0.9099100232124329,Primary,KEN,c8b68228-4e35-3c4e-9c07-afc9ee19442f,
